,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
345,4,5:52.0,,A. Burks misses 2-pt layup from 3 ft (block by M. Robinson),93,105
346,4,5:50.0,Defensive rebound by R. Barrett,,93,105
347,4,5:46.0,M. Harkless misses 2-pt layup from 1 ft,,93,105
348,4,5:42.0,,Defensive rebound by T. Harris,93,105
349,4,5:41.0,,Offensive foul by G. Robinson (drawn by R. Barrett),93,105
350,4,5:41.0,,Turnover by G. Robinson (offensive foul),93,105
351,4,5:23.0,R. Barrett makes 2-pt layup from 1 ft,,95,105
352,4,5:23.0,,Philadelphia full timeout,95,105
353,4,5:23.0,,S. Milton enters the game for G. Robinson,95,105
354,4,5:09.0,,J. Richardson misses 3-pt jump shot from 28 ft,95,105
355,4,5:05.0,Defensive rebound by J. Randle,,95,105
356,4,4:47.0,M. Harkless makes 2-pt layup from 1 ft (assist by E. Payton),,97,105
357,4,4:22.0,,A. Burks misses 2-pt jump shot from 23 ft,97,105
358,4,4:19.0,Defensive rebound by M. Harkless,,97,105
359,4,4:16.0,R. Barrett misses 2-pt layup from 1 ft,,97,105
360,4,4:13.0,,Defensive rebound by A. Burks,97,105
361,4,4:04.0,,T. Harris misses 2-pt jump shot from 9 ft,97,105
362,4,3:58.0,,Offensive rebound by S. Milton,97,105
363,4,3:58.0,,A. Burks misses 3-pt jump shot from 28 ft,97,105
364,4,3:58.0,,Offensive rebound by K. O'Quinn,97,105
365,4,3:58.0,,Shooting foul by M. Robinson (drawn by K. O'Quinn),97,105
366,4,3:58.0,,K. O'Quinn misses free throw 1 of 2,97,105
367,4,3:58.0,,Offensive rebound by Team,97,105
368,4,3:58.0,,F. Korkmaz enters the game for A. Burks,97,105
369,4,3:58.0,,K. O'Quinn makes free throw 2 of 2,97,106
