,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
232,2,2:20.0,,D. Russell misses 3-pt jump shot from 24 ft,50,39
233,2,2:18.0,Defensive rebound by T. Hardaway,,50,39
234,2,2:10.0,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Finney-Smith),,53,39
235,2,1:51.0,,Turnover by J. Okogie (lost ball; steal by D. Wright),53,39
236,2,1:47.0,D. Finney-Smith makes 2-pt dunk from 4 ft (assist by D. Wright),,55,39
237,2,1:47.0,,Minnesota full timeout,55,39
238,2,1:38.0,Violation by Team (kicked ball),,55,39
239,2,1:31.0,,J. Johnson makes 2-pt dunk from 1 ft,55,41
240,2,1:22.0,D. Wright misses 3-pt jump shot from 27 ft (block by J. Hernangómez),,55,41
241,2,1:22.0,,Defensive rebound by J. Hernangómez,55,41
242,2,1:22.0,,Personal foul by D. Wright (drawn by J. Hernangómez),55,41
243,2,1:22.0,,J. Hernangómez misses free throw 1 of 2,55,41
244,2,1:22.0,,Offensive rebound by Team,55,41
245,2,1:22.0,,J. Culver enters the game for J. Okogie,55,41
246,2,1:22.0,,J. Hernangómez misses free throw 2 of 2,55,41
247,2,1:20.0,Defensive rebound by D. Finney-Smith,,55,41
248,2,1:11.0,S. Curry makes 3-pt jump shot from 26 ft,,58,41
249,2,1:11.0,Shooting foul by J. Hernangómez (drawn by S. Curry),,58,41
250,2,1:11.0,S. Curry makes free throw 1 of 1,,59,41
251,2,0:50.0,,D. Russell misses 2-pt jump shot from 9 ft,59,41
252,2,0:49.0,Defensive rebound by K. Porziņģis,,59,41
253,2,0:29.0,K. Porziņģis makes 2-pt jump shot from 15 ft (assist by D. Finney-Smith),,61,41
254,2,0:18.0,,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by D. Russell),61,44
255,2,0:00.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by S. Curry),,63,44
256,3,11:48.0,,D. Russell misses 3-pt jump shot from 26 ft,63,44
257,3,11:44.0,Defensive rebound by K. Porziņģis,,63,44
258,3,11:30.0,S. Curry makes 2-pt jump shot from 21 ft,,65,44
259,3,11:19.0,,Turnover by D. Russell (lost ball; steal by D. Wright),65,44
260,3,11:10.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by S. Curry),,68,44
261,3,10:51.0,,J. Hernangómez misses 3-pt jump shot from 27 ft,68,44
262,3,10:47.0,Defensive rebound by D. Wright,,68,44
263,3,10:30.0,D. Wright makes 2-pt layup from 2 ft (assist by K. Porziņģis),,70,44
264,3,10:30.0,,Minnesota full timeout,70,44
265,3,10:14.0,,M. Beasley misses 3-pt jump shot from 26 ft,70,44
266,3,10:11.0,Defensive rebound by D. Finney-Smith,,70,44
267,3,9:48.0,S. Curry misses 2-pt jump shot from 13 ft,,70,44
