,QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
359,4,8:50.0,M. Hezonja makes 3-pt jump shot from 28 ft (assist by A. Trier),,73,98
360,4,8:35.0,,A. Iguodala makes 2-pt layup from 2 ft,73,100
361,4,8:12.0,E. Freedom misses 2-pt layup from 3 ft (block by D. Green),,73,100
362,4,8:11.0,Offensive rebound by Team,,73,100
363,4,8:11.0,K. Knox enters the game for D. Dotson,,73,100
364,4,8:11.0,,A. McKinnie enters the game for A. Iguodala,73,100
365,4,8:07.0,A. Trier makes 2-pt layup from 3 ft,,75,100
366,4,7:55.0,,Turnover by K. Thompson (bad pass; steal by A. Trier),75,100
367,4,7:53.0,T. Burke makes 2-pt layup from 2 ft (assist by A. Trier),,77,100
368,4,7:52.0,,Golden State full timeout,77,100
369,4,7:52.0,,K. Looney enters the game for J. Jerebko,77,100
370,4,7:36.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry),77,103
371,4,7:23.0,M. Hezonja misses 3-pt jump shot from 27 ft,,77,103
372,4,7:21.0,Offensive rebound by E. Freedom,,77,103
373,4,7:17.0,E. Freedom makes 2-pt layup from 1 ft,,79,103
374,4,7:08.0,,S. Curry misses 3-pt jump shot from 28 ft,79,103
375,4,7:06.0,Defensive rebound by K. Knox,,79,103
