,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
303,3,3:15.0,,L. Kornet enters the game for N. Vonleh,65,55
304,3,3:01.0,,L. Kornet misses 2-pt layup from 3 ft,65,55
305,3,2:59.0,,Offensive rebound by L. Kornet,65,55
306,3,2:57.0,,W. Matthews misses 3-pt jump shot from 23 ft,65,55
307,3,2:55.0,Defensive rebound by M. Conley,,65,55
308,3,2:35.0,M. Gasol makes 2-pt jump shot from 9 ft (assist by S. Mack),,67,55
309,3,2:35.0,Shooting foul by A. Trier (drawn by M. Gasol),,67,55
310,3,2:35.0,M. Gasol makes free throw 1 of 1,,68,55
311,3,2:11.0,,K. Allen misses 3-pt jump shot from 23 ft,68,55
312,3,2:06.0,Defensive rebound by J. Washburn,,68,55
313,3,1:55.0,M. Gasol misses 2-pt jump shot from 10 ft,,68,55
314,3,1:52.0,,Defensive rebound by M. Hezonja,68,55
315,3,1:45.0,,Turnover by A. Trier (bad pass; steal by S. Mack),68,55
316,3,1:31.0,M. Conley makes 2-pt layup from 1 ft (assist by M. Gasol),,70,55
317,3,1:31.0,,New York full timeout,70,55
318,3,1:31.0,J. Carter enters the game for M. Conley,,70,55
319,3,1:31.0,J. Noah enters the game for M. Gasol,,70,55
320,3,1:31.0,,K. Knox enters the game for A. Trier,70,55
321,3,1:12.0,,Shooting foul by J. Noah (drawn by K. Knox),70,55
322,3,1:12.0,,K. Knox makes free throw 1 of 2,70,56
323,3,1:12.0,,K. Knox makes free throw 2 of 2,70,57
324,3,0:48.0,J. Jackson makes 3-pt jump shot from 25 ft,,73,57
325,3,0:34.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by K. Allen),73,60
326,3,0:16.0,Personal foul by W. Matthews (drawn by J. Jackson),,73,60
327,3,0:16.0,J. Jackson misses free throw 1 of 2,,73,60
328,3,0:16.0,Offensive rebound by Team,,73,60
329,3,0:16.0,J. Holiday enters the game for J. Noah,,73,60
330,3,0:16.0,J. Jackson makes free throw 2 of 2,,74,60
331,3,0:01.0,,K. Knox makes 2-pt dunk from 1 ft,74,62
332,3,0:00.0,J. Holiday misses 3-pt jump shot from 35 ft (block by L. Kornet),,74,62
333,3,0:00.0,Offensive rebound by Team,,74,62
334,4,11:41.0,S. Mack misses 2-pt jump shot from 16 ft,,74,62
335,4,11:39.0,,Defensive rebound by Team,74,62
336,4,11:23.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by L. Kornet),74,65
337,4,11:09.0,Personal foul by M. Hezonja (drawn by J. Noah),,74,65
338,4,10:58.0,,Violation by Team (kicked ball),74,65
339,4,10:49.0,J. Holiday makes 3-pt jump shot from 26 ft,,77,65
340,4,10:34.0,,K. Knox misses 2-pt layup from 1 ft,77,65
341,4,10:32.0,Defensive rebound by J. Noah,,77,65
342,4,10:25.0,Turnover by J. Carter (lost ball; steal by M. Hezonja),,77,65
343,4,10:20.0,,K. Knox misses 2-pt layup from 1 ft,77,65
344,4,10:17.0,Defensive rebound by S. Mack,,77,65
345,4,10:15.0,J. Holiday misses 3-pt jump shot from 26 ft,,77,65
346,4,10:15.0,,Defensive rebound by K. Allen,77,65
347,4,10:03.0,,K. Allen misses 2-pt layup from 1 ft,77,65
348,4,10:02.0,Defensive rebound by J. Carter,,77,65
349,4,9:57.0,J. Carter misses 2-pt layup from 2 ft,,77,65
350,4,9:57.0,Offensive rebound by J. Jackson,,77,65
351,4,9:51.0,J. Jackson makes 2-pt dunk from 1 ft,,79,65
352,4,9:43.0,,W. Matthews makes 2-pt jump shot from 9 ft,79,67
