,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
315,3,0:32.0,,Shooting foul by S. Dinwiddie (drawn by K. Middleton),81,77
316,3,0:32.0,,K. Middleton makes free throw 1 of 2,81,78
317,3,0:32.0,,K. Middleton makes free throw 2 of 2,81,79
318,3,0:24.0,T. Mozgov makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),,83,79
319,3,0:02.0,,J. Parker makes 2-pt layup from 5 ft,83,81
320,4,11:47.0,,J. Parker misses 2-pt jump shot from 13 ft,83,81
321,4,11:44.0,Defensive rebound by R. Hollis-Jefferson,,83,81
322,4,11:41.0,C. LeVert makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),,85,81
323,4,11:24.0,,T. Zeller makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo),85,83
324,4,10:56.0,S. Dinwiddie misses 2-pt layup from 3 ft,,85,83
325,4,10:55.0,Offensive rebound by Team,,85,83
326,4,10:55.0,Turnover by Team (shot clock),,85,83
327,4,10:44.0,,G. Antetokounmpo makes 2-pt layup at rim,85,85
328,4,10:32.0,J. Harris misses 3-pt jump shot from 23 ft,,85,85
329,4,10:29.0,,Defensive rebound by J. Parker,85,85
330,4,10:18.0,,J. Parker makes 2-pt layup at rim,85,87
331,4,10:18.0,,Shooting foul by S. Dinwiddie (drawn by J. Parker),85,87
332,4,10:18.0,,J. Parker makes free throw 1 of 1,85,88
333,4,10:10.0,Personal foul by J. Terry (drawn by S. Dinwiddie),,85,88
334,4,10:07.0,S. Dinwiddie makes 2-pt layup at rim (assist by Q. Acy),,87,88
335,4,10:07.0,Shooting foul by J. Terry (drawn by S. Dinwiddie),,87,88
336,4,10:07.0,S. Dinwiddie makes free throw 1 of 1,,88,88
337,4,9:53.0,,Turnover by J. Parker (bad pass; steal by Q. Acy),88,88
338,4,9:46.0,C. LeVert makes 2-pt dunk from 1 ft (assist by R. Hollis-Jefferson),,90,88
339,4,9:35.0,,S. Brown makes 2-pt jump shot from 15 ft,90,90
340,4,9:08.0,Q. Acy makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,93,90
341,4,8:55.0,,S. Brown makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),93,93
342,4,8:40.0,Personal foul by G. Antetokounmpo (drawn by C. LeVert),,93,93
343,4,8:34.0,C. LeVert misses 2-pt layup from 4 ft,,93,93
344,4,8:31.0,,Defensive rebound by S. Brown,93,93
345,4,8:25.0,,G. Antetokounmpo misses 2-pt jump shot from 17 ft,93,93
346,4,8:22.0,Defensive rebound by C. LeVert,,93,93
347,4,8:18.0,S. Dinwiddie makes 3-pt jump shot from 28 ft (assist by C. LeVert),,96,93
348,4,7:59.0,,J. Parker misses 2-pt layup from 2 ft,96,93
349,4,7:55.0,,Offensive rebound by J. Parker,96,93
350,4,7:55.0,,J. Parker misses 2-pt layup at rim,96,93
351,4,7:55.0,,Offensive rebound by J. Parker,96,93
352,4,7:50.0,,J. Parker makes 2-pt layup at rim,96,95
353,4,7:31.0,Shooting foul by T. Zeller (drawn by R. Hollis-Jefferson),,96,95
354,4,7:31.0,R. Hollis-Jefferson makes free throw 1 of 2,,97,95
355,4,7:31.0,,K. Middleton enters the game for S. Brown,97,95
356,4,7:31.0,,E. Bledsoe enters the game for J. Terry,97,95
357,4,7:31.0,J. Allen enters the game for J. Harris,,97,95
358,4,7:31.0,A. Crabbe enters the game for Q. Acy,,97,95
