,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
355,4,6:32.0,,V. Carter makes 3-pt jump shot from 28 ft (assist by B. Hield),82,95
356,4,6:09.0,K. O'Quinn misses 2-pt jump shot from 20 ft,,82,95
357,4,6:07.0,,Defensive rebound by F. Mason,82,95
358,4,5:57.0,,F. Mason misses 2-pt layup from 4 ft,82,95
359,4,5:53.0,Defensive rebound by Team,,82,95
360,4,5:41.0,C. Lee makes 2-pt layup from 2 ft (assist by K. O'Quinn),,84,95
361,4,5:16.0,,Turnover by B. Hield (bad pass; steal by C. Lee),84,95
362,4,5:16.0,Personal foul by F. Mason (drawn by C. Lee),,84,95
363,4,5:04.0,T. Hardaway makes 2-pt layup from 1 ft (assist by K. O'Quinn),,86,95
364,4,4:47.0,,B. Hield misses 3-pt jump shot from 22 ft,86,95
365,4,4:47.0,Defensive rebound by M. Beasley,,86,95
366,4,4:36.0,T. Burke makes 2-pt jump shot from 13 ft,,88,95
367,4,4:16.0,,S. Labissière makes 2-pt jump shot from 13 ft (assist by G. Temple),88,97
368,4,4:01.0,Personal foul by B. Hield (drawn by T. Hardaway),,88,97
369,4,4:01.0,New York full timeout,,88,97
370,4,4:01.0,,D. Fox enters the game for F. Mason,88,97
371,4,4:01.0,,B. Bogdanović enters the game for B. Hield,88,97
