,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
329,4,9:46.0,,D. McDermott misses 2-pt layup from 3 ft,72,75
330,4,9:45.0,Defensive rebound by M. Muscala,,72,75
331,4,9:39.0,T. Dorsey makes 2-pt layup from 2 ft (assist by M. Delaney),,74,75
332,4,9:39.0,Shooting block foul by T. Hardaway (drawn by T. Dorsey),,74,75
333,4,9:39.0,D. Dedmon enters the game for M. Belinelli,,74,75
334,4,9:39.0,K. Bazemore enters the game for J. Collins,,74,75
335,4,9:39.0,T. Dorsey misses free throw 1 of 1,,74,75
336,4,9:35.0,Offensive rebound by M. Muscala,,74,75
337,4,9:27.0,M. Delaney misses 2-pt layup from 4 ft (block by K. O'Quinn),,74,75
338,4,9:23.0,Offensive rebound by T. Dorsey,,74,75
339,4,9:18.0,K. Bazemore misses 2-pt layup from 1 ft,,74,75
340,4,9:18.0,,Defensive rebound by Team,74,75
341,4,9:18.0,,K. Porziņģis enters the game for M. Beasley,74,75
342,4,9:03.0,,K. Porziņģis makes 2-pt jump shot from 19 ft (assist by K. O'Quinn),74,77
343,4,8:50.0,Shooting foul by T. Burke (drawn by M. Delaney),,74,77
344,4,8:50.0,M. Plumlee enters the game for M. Muscala,,74,77
345,4,8:50.0,M. Delaney makes free throw 1 of 2,,75,77
346,4,8:50.0,M. Delaney makes free throw 2 of 2,,76,77
347,4,8:34.0,,Shooting foul by M. Plumlee (drawn by K. O'Quinn),76,77
348,4,8:34.0,,J. Jack enters the game for T. Burke,76,77
349,4,8:34.0,,K. O'Quinn misses free throw 1 of 2,76,77
350,4,8:34.0,,Offensive rebound by Team,76,77
351,4,8:34.0,,K. O'Quinn makes free throw 2 of 2,76,78
352,4,8:13.0,D. Dedmon makes 2-pt jump shot from 6 ft (assist by M. Plumlee),,78,78
353,4,7:56.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. O'Quinn),78,81
354,4,7:42.0,M. Delaney makes 3-pt jump shot from 25 ft,,81,81
355,4,7:25.0,,D. McDermott makes 2-pt layup from 1 ft (assist by K. O'Quinn),81,83
356,4,7:11.0,D. Dedmon makes 2-pt jump shot from 7 ft (assist by M. Delaney),,83,83
357,4,6:52.0,,K. O'Quinn makes 2-pt hook shot from 6 ft,83,85
358,4,6:45.0,Turnover by M. Delaney (bad pass; steal by K. Porziņģis),,83,85
359,4,6:41.0,,K. Porziņģis makes 2-pt layup at rim,83,87
360,4,6:41.0,Atlanta full timeout,,83,87
361,4,6:41.0,D. Schröder enters the game for M. Delaney,,83,87
362,4,6:41.0,J. Collins enters the game for M. Plumlee,,83,87
363,4,6:28.0,D. Schröder misses 2-pt jump shot from 14 ft,,83,87
364,4,6:27.0,Offensive rebound by Team,,83,87
365,4,6:27.0,,Loose ball foul by K. Porziņģis (drawn by D. Dedmon),83,87
366,4,6:19.0,K. Bazemore misses 2-pt layup from 3 ft (block by K. Porziņģis),,83,87
367,4,6:17.0,,Defensive rebound by K. O'Quinn,83,87
368,4,6:17.0,,K. Porziņģis misses technical free throw,83,87
369,4,6:17.0,,Offensive rebound by Team,83,87
370,4,6:10.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,83,87
371,4,6:04.0,,Offensive rebound by K. O'Quinn,83,87
