,QUARTER,TIME_REMAINING,BOSTON_ACTION,MINNESOTA_ACTION,BOSTON_SCORE,MINNESOTA_SCORE
268,3,5:18.0,,T. Gibson misses 2-pt jump shot from 20 ft,70,61
269,3,5:14.0,,Offensive rebound by K. Towns,70,61
270,3,5:13.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by K. Towns),70,63
271,3,5:00.0,A. Horford misses 2-pt jump shot from 7 ft,,70,63
272,3,4:57.0,Offensive rebound by K. Irving,,70,63
273,3,4:51.0,J. Brown makes 3-pt jump shot from 22 ft (assist by M. Smart),,73,63
274,3,4:25.0,,A. Wiggins misses 3-pt jump shot from 24 ft,73,63
275,3,4:23.0,,Offensive rebound by N. Bjelica,73,63
276,3,4:21.0,,N. Bjelica misses 2-pt layup from 1 ft (block by K. Irving),73,63
277,3,4:18.0,Defensive rebound by K. Irving,,73,63
278,3,4:15.0,M. Morris makes 3-pt jump shot from 25 ft (assist by K. Irving),,76,63
279,3,3:48.0,,J. Teague misses 3-pt jump shot from 27 ft,76,63
280,3,3:47.0,Defensive rebound by K. Irving,,76,63
281,3,3:41.0,Personal foul by A. Wiggins (drawn by A. Horford),,76,63
282,3,3:41.0,,J. Crawford enters the game for N. Bjelica,76,63
283,3,3:41.0,,G. Dieng enters the game for T. Gibson,76,63
284,3,3:36.0,M. Morris misses 3-pt jump shot from 25 ft,,76,63
285,3,3:32.0,,Defensive rebound by K. Towns,76,63
286,3,3:23.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by K. Towns),76,66
287,3,3:04.0,K. Irving makes 2-pt jump shot from 14 ft,,78,66
288,3,2:53.0,,Offensive foul by G. Dieng (drawn by M. Smart),78,66
289,3,2:53.0,,Turnover by G. Dieng (offensive foul),78,66
290,3,2:53.0,Boston full timeout,,78,66
291,3,2:53.0,,T. Jones enters the game for J. Teague,78,66
292,3,2:53.0,T. Rozier enters the game for K. Irving,,78,66
293,3,2:41.0,Turnover by M. Smart (bad pass; steal by A. Wiggins),,78,66
294,3,2:31.0,,A. Wiggins misses 2-pt jump shot from 13 ft,78,66
295,3,2:27.0,,Offensive rebound by A. Wiggins,78,66
296,3,2:24.0,,T. Jones makes 3-pt jump shot from 24 ft (assist by J. Crawford),78,69
297,3,2:08.0,M. Smart misses 2-pt jump shot from 10 ft,,78,69
298,3,2:07.0,Offensive rebound by Team,,78,69
299,3,2:07.0,,Loose ball foul by T. Jones (drawn by A. Horford),78,69
300,3,1:59.0,A. Horford makes 2-pt layup from 3 ft (assist by M. Smart),,80,69
301,3,1:36.0,,K. Towns misses 2-pt hook shot from 6 ft,80,69
302,3,1:32.0,Defensive rebound by J. Brown,,80,69
303,3,1:31.0,J. Brown makes 2-pt dunk from 2 ft,,82,69
304,3,1:31.0,Shooting foul by A. Wiggins (drawn by J. Brown),,82,69
305,3,1:31.0,J. Tatum enters the game for J. Brown,,82,69
306,3,1:31.0,A. Horford makes free throw 1 of 1,,83,69
