,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
259,3,5:01.0,,D. Bertāns enters the game for R. Gay,67,61
260,3,4:50.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,70,61
261,3,4:45.0,,San Antonio full timeout,70,61
262,3,4:45.0,S. Livingston enters the game for A. Iguodala,,70,61
263,3,4:26.0,,P. Mills misses 3-pt jump shot from 25 ft,70,61
264,3,4:22.0,,Offensive rebound by L. Aldridge,70,61
265,3,4:22.0,,L. Aldridge misses 2-pt layup at rim,70,61
266,3,4:20.0,,Offensive rebound by L. Aldridge,70,61
267,3,4:20.0,,L. Aldridge makes 2-pt layup at rim,70,63
268,3,4:05.0,K. Thompson makes 2-pt jump shot from 14 ft,,72,63
269,3,3:49.0,,M. Ginóbili misses 3-pt jump shot from 25 ft,72,63
270,3,3:46.0,Defensive rebound by D. Green,,72,63
271,3,3:40.0,K. Durant makes 3-pt jump shot from 26 ft,,75,63
272,3,3:26.0,,Shooting foul by K. Looney (drawn by L. Aldridge),75,63
273,3,3:26.0,,L. Aldridge makes free throw 1 of 2,75,64
274,3,3:26.0,,K. Anderson enters the game for P. Mills,75,64
275,3,3:26.0,,T. Parker enters the game for B. Forbes,75,64
276,3,3:26.0,D. West enters the game for K. Thompson,,75,64
277,3,3:26.0,Q. Cook enters the game for D. Green,,75,64
278,3,3:26.0,,L. Aldridge misses free throw 2 of 2,75,64
279,3,3:18.0,Defensive rebound by K. Durant,,75,64
280,3,3:06.0,Q. Cook makes 2-pt jump shot from 15 ft,,77,64
281,3,2:47.0,,T. Parker makes 2-pt layup from 1 ft,77,66
282,3,2:47.0,Violation by D. West (def goaltending),,77,66
283,3,2:32.0,Shooting foul by M. Ginóbili (drawn by S. Livingston),,77,66
284,3,2:32.0,S. Livingston makes free throw 1 of 2,,78,66
285,3,2:32.0,,P. Gasol enters the game for D. Bertāns,78,66
286,3,2:32.0,S. Livingston makes free throw 2 of 2,,79,66
287,3,2:19.0,,Turnover by P. Gasol (bad pass),79,66
288,3,2:09.0,Turnover by K. Durant (bad pass; steal by K. Anderson),,79,66
289,3,2:03.0,,T. Parker misses 2-pt jump shot from 12 ft,79,66
290,3,2:00.0,Defensive rebound by K. Durant,,79,66
291,3,1:57.0,K. Durant misses 3-pt jump shot from 26 ft,,79,66
292,3,1:56.0,Offensive rebound by Team,,79,66
293,3,1:56.0,,Loose ball foul by M. Ginóbili (drawn by S. Livingston),79,66
294,3,1:56.0,S. Livingston makes free throw 1 of 2,,80,66
295,3,1:56.0,S. Livingston makes free throw 2 of 2,,81,66
296,3,1:32.0,,T. Parker makes 2-pt jump shot from 14 ft (assist by L. Aldridge),81,68
297,3,1:11.0,S. Livingston misses 2-pt jump shot from 12 ft,,81,68
298,3,1:08.0,,Defensive rebound by P. Gasol,81,68
299,3,0:56.0,,T. Parker misses 3-pt jump shot from 25 ft,81,68
300,3,0:52.0,,Offensive rebound by M. Ginóbili,81,68
301,3,0:52.0,,Personal block foul by K. Looney (drawn by M. Ginóbili),81,68
302,3,0:52.0,K. Thompson enters the game for K. Durant,,81,68
303,3,0:43.0,,K. Anderson misses 2-pt jump shot from 9 ft,81,68
304,3,0:41.0,Defensive rebound by K. Thompson,,81,68
305,3,0:36.0,Q. Cook makes 3-pt jump shot from 25 ft,,84,68
306,3,0:26.0,,T. Parker makes 2-pt layup at rim,84,70
307,3,0:06.0,Turnover by K. Thompson (lost ball; steal by M. Ginóbili),,84,70
308,3,0:01.0,,P. Gasol makes 2-pt dunk from 1 ft (assist by T. Parker),84,72
309,3,0:00.0,S. Livingston misses 3-pt jump shot from 64 ft,,84,72
310,3,0:00.0,Offensive rebound by Team,,84,72
311,4,11:41.0,,D. Bertāns misses 3-pt jump shot from 24 ft,84,72
312,4,11:41.0,Defensive rebound by Team,,84,72
313,4,11:41.0,,Loose ball foul by P. Gasol (drawn by D. West),84,72
314,4,11:27.0,D. Green misses 2-pt layup from 1 ft,,84,72
315,4,11:26.0,Offensive rebound by Team,,84,72
316,4,11:20.0,S. Livingston misses 2-pt dunk at rim,,84,72
317,4,11:17.0,Offensive rebound by D. Green,,84,72
318,4,11:16.0,Turnover by D. Green (lost ball; steal by T. Parker),,84,72
319,4,11:11.0,,M. Ginóbili misses 3-pt jump shot from 26 ft,84,72
320,4,11:09.0,,Offensive rebound by K. Anderson,84,72
321,4,11:01.0,,Shooting foul by D. West (drawn by D. Bertāns),84,72
322,4,11:01.0,,D. Bertāns makes free throw 1 of 2,84,73
323,4,11:01.0,,P. Mills enters the game for M. Ginóbili,84,73
324,4,11:01.0,,D. Bertāns makes free throw 2 of 2,84,74
325,4,10:44.0,K. Thompson misses 2-pt jump shot from 8 ft,,84,74
326,4,10:42.0,,Defensive rebound by D. Bertāns,84,74
327,4,10:19.0,,K. Anderson misses 2-pt jump shot from 7 ft (block by D. West),84,74
328,4,10:10.0,,Offensive rebound by K. Anderson,84,74
329,4,10:09.0,,K. Anderson makes 2-pt jump shot from 1 ft,84,76
330,4,10:09.0,Personal foul by K. Anderson (drawn by S. Livingston),,84,76
331,4,9:59.0,Q. Cook misses 3-pt jump shot from 26 ft,,84,76
332,4,9:57.0,Offensive rebound by Team,,84,76
333,4,9:57.0,Personal foul by D. Bertāns (drawn by D. West),,84,76
334,4,9:49.0,Q. Cook misses 3-pt jump shot from 23 ft,,84,76
335,4,9:44.0,Offensive rebound by D. Green,,84,76
336,4,9:42.0,K. Thompson misses 2-pt jump shot from 17 ft,,84,76
337,4,9:39.0,Offensive rebound by D. West,,84,76
338,4,9:38.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. West),,87,76
339,4,9:21.0,,Turnover by P. Mills (turnover; steal by Q. Cook),87,76
340,4,9:17.0,K. Thompson makes 2-pt layup from 1 ft (assist by D. West),,89,76
341,4,8:57.0,,Personal foul by K. Thompson (drawn by P. Gasol),89,76
342,4,8:57.0,,R. Gay enters the game for D. Bertāns,89,76
343,4,8:46.0,,Shooting foul by S. Livingston (drawn by R. Gay),89,76
344,4,8:46.0,,R. Gay makes free throw 1 of 2,89,77
345,4,8:46.0,,L. Aldridge enters the game for K. Anderson,89,77
346,4,8:46.0,,R. Gay misses free throw 2 of 2,89,77
347,4,8:43.0,Defensive rebound by K. Thompson,,89,77
348,4,8:30.0,D. Green makes 3-pt jump shot from 25 ft (assist by Q. Cook),,92,77
349,4,8:11.0,K. Durant enters the game for K. Thompson,,92,77
350,4,8:07.0,,P. Mills misses 3-pt jump shot from 26 ft,92,77
351,4,8:03.0,Defensive rebound by S. Livingston,,92,77
352,4,7:47.0,D. Green misses 3-pt jump shot from 25 ft,,92,77
353,4,7:43.0,,Defensive rebound by P. Gasol,92,77
354,4,7:31.0,,T. Parker misses 3-pt jump shot from 23 ft,92,77
355,4,7:27.0,Defensive rebound by K. Durant,,92,77
356,4,7:08.0,S. Livingston makes 2-pt jump shot from 16 ft (assist by D. Green),,94,77
357,4,6:48.0,,R. Gay misses 2-pt hook shot from 5 ft,94,77
358,4,6:46.0,Defensive rebound by D. West,,94,77
359,4,6:41.0,Personal foul by R. Gay (drawn by K. Durant),,94,77
360,4,6:41.0,,San Antonio full timeout,94,77
361,4,6:41.0,,B. Forbes enters the game for T. Parker,94,77
362,4,6:41.0,,D. Bertāns enters the game for P. Gasol,94,77
363,4,6:41.0,A. Iguodala enters the game for D. West,,94,77
364,4,6:41.0,K. Thompson enters the game for Q. Cook,,94,77
365,4,6:41.0,K. Looney enters the game for S. Livingston,,94,77
366,4,6:31.0,K. Looney makes 2-pt dunk from 1 ft (assist by A. Iguodala),,96,77
367,4,6:10.0,,P. Mills makes 2-pt layup at rim,96,79
368,4,6:04.0,Turnover by D. Green (bad pass),,96,79
369,4,5:51.0,,L. Aldridge makes 2-pt layup at rim (assist by R. Gay),96,81
370,4,5:27.0,K. Durant makes 2-pt jump shot from 12 ft,,98,81
371,4,5:05.0,,B. Forbes misses 3-pt jump shot from 24 ft,98,81
372,4,5:02.0,,Offensive rebound by L. Aldridge,98,81
373,4,4:59.0,,B. Forbes misses 2-pt jump shot from 3 ft,98,81
374,4,4:57.0,Defensive rebound by A. Iguodala,,98,81
375,4,4:50.0,Golden State full timeout,,98,81
376,4,4:38.0,Turnover by K. Durant (lost ball; steal by P. Mills),,98,81
