,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
338,4,9:35.0,,Offensive rebound by C. Felício,71,55
339,4,9:35.0,,C. Felício misses 2-pt layup at rim,71,55
340,4,9:34.0,Defensive rebound by B. Forbes,,71,55
341,4,9:27.0,B. Forbes misses 2-pt jump shot from 8 ft (block by D. Nwaba),,71,55
342,4,9:27.0,,Defensive rebound by D. Nwaba,71,55
343,4,9:27.0,,Personal foul by M. Ginóbili (drawn by D. Nwaba),71,55
344,4,9:12.0,,J. Grant misses 2-pt layup from 2 ft,71,55
345,4,9:07.0,,Offensive rebound by C. Felício,71,55
346,4,9:07.0,,C. Felício makes 2-pt layup at rim,71,57
347,4,8:55.0,M. Ginóbili misses 3-pt jump shot from 26 ft,,71,57
348,4,8:52.0,,Defensive rebound by D. Nwaba,71,57
349,4,8:33.0,,Turnover by D. Nwaba (bad pass),71,57
350,4,8:33.0,L. Aldridge enters the game for J. Lauvergne,,71,57
351,4,8:12.0,D. Murray makes 2-pt jump shot from 20 ft,,73,57
352,4,7:59.0,,Personal foul by B. Forbes (drawn by J. Grant),73,57
353,4,7:59.0,D. Green enters the game for M. Ginóbili,,73,57
354,4,7:45.0,,J. Grant misses 2-pt jump shot from 6 ft,73,57
355,4,7:45.0,,Offensive rebound by Team,73,57
356,4,7:45.0,,Turnover by Team (shot clock),73,57
357,4,7:37.0,,Personal foul by L. Aldridge (drawn by J. Grant),73,57
358,4,7:37.0,Turnover by L. Aldridge (turnover),,73,57
359,4,7:17.0,,J. Grant misses 3-pt jump shot from 25 ft,73,57
360,4,7:13.0,Defensive rebound by D. Green,,73,57
361,4,7:04.0,Shooting foul by C. Felício (drawn by L. Aldridge),,73,57
362,4,7:04.0,L. Aldridge makes free throw 1 of 2,,74,57
363,4,7:04.0,L. Aldridge makes free throw 2 of 2,,75,57
364,4,6:51.0,,L. Markkanen makes 2-pt layup at rim (assist by D. Nwaba),75,59
365,4,6:51.0,,Shooting foul by L. Aldridge (drawn by L. Markkanen),75,59
366,4,6:51.0,,L. Markkanen misses free throw 1 of 1,75,59
367,4,6:48.0,Defensive rebound by K. Anderson,,75,59
