,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
216,3,10:52.0,,T. Jones misses 2-pt jump shot from 5 ft,52,70
217,3,10:51.0,,Offensive rebound by T. Jones,52,70
218,3,10:50.0,,T. Jones misses 2-pt layup from 2 ft,52,70
219,3,10:49.0,Defensive rebound by L. James,,52,70
220,3,10:42.0,L. James makes 2-pt layup from 2 ft,,54,70
221,3,10:28.0,,T. Jones makes 3-pt jump shot from 26 ft (assist by B. Hield),54,73
222,3,10:14.0,K. Irving makes 3-pt jump shot from 24 ft,,57,73
223,3,10:00.0,,Turnover by J. Holiday (lost ball; steal by I. Shumpert),57,73
224,3,9:57.0,Personal foul by J. Holiday (drawn by K. Irving),,57,73
225,3,9:49.0,K. Irving misses 3-pt jump shot from 27 ft,,57,73
226,3,9:49.0,,Defensive rebound by T. Jones,57,73
227,3,9:38.0,,T. Jones misses 3-pt jump shot from 25 ft,57,73
228,3,9:37.0,Defensive rebound by K. Love,,57,73
229,3,9:26.0,I. Shumpert misses 3-pt jump shot from 23 ft,,57,73
230,3,9:25.0,,Defensive rebound by D. Cunningham,57,73
231,3,9:06.0,,S. Hill misses 3-pt jump shot from 27 ft,57,73
232,3,9:05.0,Defensive rebound by L. James,,57,73
233,3,8:59.0,Personal foul by B. Hield (drawn by K. Love),,57,73
234,3,8:57.0,K. Love makes 2-pt hook shot from 7 ft (assist by L. James),,59,73
235,3,8:46.0,,T. Jones makes 2-pt jump shot from 3 ft (assist by J. Holiday),59,75
236,3,8:35.0,K. Irving misses 3-pt jump shot from 25 ft,,59,75
237,3,8:33.0,,Defensive rebound by T. Jones,59,75
238,3,8:27.0,,B. Hield misses 2-pt layup from 3 ft (block by K. Irving),59,75
239,3,8:26.0,Defensive rebound by I. Shumpert,,59,75
240,3,8:15.0,Shooting foul by D. Cunningham (drawn by K. Irving),,59,75
241,3,8:15.0,K. Irving makes free throw 1 of 2,,60,75
242,3,8:15.0,K. Irving makes free throw 2 of 2,,61,75
243,3,8:05.0,,T. Jones misses 2-pt jump shot from 6 ft,61,75
244,3,8:04.0,Defensive rebound by K. Love,,61,75
245,3,7:45.0,L. James misses 3-pt jump shot from 25 ft,,61,75
246,3,7:44.0,,Defensive rebound by B. Hield,61,75
247,3,7:27.0,,D. Cunningham misses 2-pt layup from 2 ft (block by T. Thompson),61,75
248,3,7:25.0,Defensive rebound by Team,,61,75
249,3,7:09.0,I. Shumpert misses 2-pt layup from 1 ft (block by B. Hield),,61,75
250,3,7:04.0,,Defensive rebound by B. Hield,61,75
251,3,7:02.0,,B. Hield misses 3-pt jump shot from 25 ft,61,75
252,3,6:59.0,,Offensive rebound by Team,61,75
253,3,6:47.0,,Turnover by T. Jones (bad pass; steal by L. James),61,75
254,3,6:36.0,T. Thompson misses 2-pt layup from 2 ft (block by J. Holiday),,61,75
255,3,6:36.0,Offensive rebound by Team,,61,75
256,3,6:32.0,K. Love misses 3-pt jump shot from 26 ft,,61,75
257,3,6:29.0,,Defensive rebound by T. Jones,61,75
258,3,6:24.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Cunningham),61,78
259,3,6:10.0,K. Irving misses 2-pt jump shot from 18 ft,,61,78
260,3,6:09.0,Offensive rebound by K. Love,,61,78
261,3,6:08.0,K. Love makes 2-pt layup from 2 ft,,63,78
262,3,5:47.0,,D. Cunningham misses 3-pt jump shot from 23 ft,63,78
263,3,5:44.0,Defensive rebound by K. Love,,63,78
264,3,5:41.0,L. James makes 2-pt layup from 2 ft (assist by K. Love),,65,78
265,3,5:32.0,,Shooting foul by T. Thompson (drawn by J. Holiday),65,78
266,3,5:32.0,,New Orleans full timeout,65,78
267,3,5:32.0,,J. Holiday makes free throw 1 of 2,65,79
268,3,5:32.0,,J. Holiday makes free throw 2 of 2,65,80
269,3,5:23.0,Shooting foul by D. Cunningham (drawn by L. James),,65,80
