,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
316,3,2:20.0,Shooting foul by A. Morrow (drawn by J. Wall),,78,79
317,3,2:20.0,J. Wall misses free throw 1 of 2,,78,79
318,3,2:20.0,Offensive rebound by Team,,78,79
319,3,2:20.0,M. Thornton enters the game for B. Beal,,78,79
320,3,2:20.0,,S. Christon enters the game for R. Westbrook,78,79
321,3,2:20.0,J. Wall makes free throw 2 of 2,,79,79
322,3,1:59.0,,E. Freedom misses 2-pt jump shot from 14 ft,79,79
323,3,1:58.0,,Offensive rebound by S. Christon,79,79
324,3,1:54.0,,A. Morrow makes 3-pt jump shot from 25 ft (assist by S. Christon),79,82
325,3,1:36.0,M. Thornton misses 3-pt jump shot from 25 ft,,79,82
326,3,1:35.0,,Defensive rebound by Team,79,82
327,3,1:35.0,T. Satoranský enters the game for J. Wall,,79,82
328,3,1:20.0,,A. Morrow misses 2-pt layup from 2 ft,79,82
329,3,1:19.0,Defensive rebound by K. Oubre,,79,82
330,3,0:59.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,82,82
331,3,0:38.0,,E. Freedom makes 2-pt layup at rim (assist by S. Christon),82,84
332,3,0:24.0,Personal foul by A. Morrow (drawn by M. Thornton),,82,84
333,3,0:24.0,M. Thornton makes free throw 1 of 2,,83,84
334,3,0:24.0,M. Thornton makes free throw 2 of 2,,84,84
335,3,0:06.0,,Personal block foul by T. Satoranský (drawn by S. Christon),84,84
336,3,0:06.0,J. Smith enters the game for M. Gortat,,84,84
337,3,0:03.0,,Turnover by J. Grant (lost ball; steal by O. Porter),84,84
338,3,0:00.0,M. Thornton misses 3-pt jump shot from 40 ft,,84,84
339,3,0:00.0,Offensive rebound by Team,,84,84
340,4,11:37.0,K. Oubre misses 2-pt jump shot from 12 ft,,84,84
341,4,11:36.0,,Defensive rebound by V. Oladipo,84,84
342,4,11:12.0,,V. Oladipo misses 3-pt jump shot from 26 ft,84,84
343,4,11:11.0,Defensive rebound by M. Thornton,,84,84
344,4,10:59.0,T. Satoranský misses 2-pt layup from 3 ft,,84,84
345,4,10:59.0,,Defensive rebound by J. Lauvergne,84,84
346,4,10:54.0,,Turnover by J. Lauvergne (lost ball; steal by O. Porter),84,84
347,4,10:47.0,J. Smith misses 2-pt jump shot from 18 ft,,84,84
348,4,10:47.0,Offensive rebound by M. Thornton,,84,84
349,4,10:45.0,M. Thornton makes 2-pt layup from 2 ft,,86,84
350,4,10:29.0,,E. Freedom misses 2-pt jump shot from 3 ft,86,84
351,4,10:29.0,Defensive rebound by O. Porter,,86,84
352,4,10:21.0,Personal foul by S. Christon (drawn by J. Smith),,86,84
353,4,10:21.0,,D. Sabonis enters the game for E. Freedom,86,84
