,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BROOKLYN_ACTION,MEMPHIS_SCORE,BROOKLYN_SCORE
227,3,8:09.0,J. Green makes free throw 1 of 2,,60,50
228,3,8:09.0,J. Green makes free throw 2 of 2,,61,50
229,3,8:01.0,,B. Lopez misses 2-pt jump shot from 11 ft,61,50
230,3,8:00.0,Defensive rebound by J. Green,,61,50
231,3,7:52.0,Shooting foul by B. Lopez (drawn by M. Gasol),,61,50
232,3,7:52.0,M. Gasol makes free throw 1 of 2,,62,50
233,3,7:52.0,M. Gasol makes free throw 2 of 2,,63,50
234,3,7:27.0,,R. Hollis-Jefferson misses 3-pt jump shot from 23 ft,63,50
235,3,7:25.0,Defensive rebound by C. Parsons,,63,50
236,3,7:14.0,Shooting foul by R. Hollis-Jefferson (drawn by M. Conley),,63,50
237,3,7:14.0,M. Conley misses free throw 1 of 2,,63,50
238,3,7:14.0,Offensive rebound by Team,,63,50
239,3,7:14.0,M. Conley makes free throw 2 of 2,,64,50
240,3,7:01.0,,B. Lopez makes 2-pt hook shot from 5 ft (assist by S. Dinwiddie),64,52
241,3,6:45.0,Shooting foul by S. Dinwiddie (drawn by M. Gasol),,64,52
242,3,6:45.0,M. Gasol makes free throw 1 of 2,,65,52
243,3,6:45.0,T. Douglas enters the game for J. Ennis,,65,52
244,3,6:45.0,M. Gasol makes free throw 2 of 2,,66,52
245,3,6:32.0,,S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by R. Foye),66,55
246,3,6:20.0,M. Conley makes 2-pt layup from 1 ft (assist by M. Gasol),,68,55
247,3,6:10.0,,S. Dinwiddie misses 2-pt jump shot from 11 ft,68,55
248,3,6:09.0,Defensive rebound by M. Gasol,,68,55
249,3,5:58.0,J. Green makes 2-pt hook shot from 6 ft (assist by M. Gasol),,70,55
250,3,5:57.0,,Brooklyn full timeout,70,55
251,3,5:57.0,,T. Booker enters the game for B. Bogdanović,70,55
252,3,5:57.0,,S. Kilpatrick enters the game for R. Hollis-Jefferson,70,55
253,3,5:35.0,,S. Kilpatrick makes 3-pt jump shot from 25 ft (assist by B. Lopez),70,58
254,3,5:19.0,M. Gasol misses 2-pt jump shot from 19 ft,,70,58
255,3,5:18.0,Offensive rebound by T. Douglas,,70,58
256,3,5:02.0,C. Parsons misses 3-pt jump shot from 27 ft,,70,58
257,3,5:01.0,,Defensive rebound by S. Kilpatrick,70,58
258,3,4:53.0,,S. Kilpatrick makes 2-pt jump shot from 19 ft,70,60
259,3,4:29.0,Turnover by T. Douglas (bad pass; steal by S. Kilpatrick),,70,60
260,3,4:18.0,,S. Dinwiddie makes 2-pt jump shot from 7 ft (assist by S. Kilpatrick),70,62
261,3,3:57.0,Shooting foul by B. Lopez (drawn by M. Conley),,70,62
262,3,3:57.0,M. Conley makes free throw 1 of 2,,71,62
263,3,3:57.0,Z. Randolph enters the game for J. Green,,71,62
264,3,3:57.0,,I. Whitehead enters the game for S. Dinwiddie,71,62
265,3,3:57.0,,C. LeVert enters the game for R. Foye,71,62
266,3,3:57.0,M. Conley makes free throw 2 of 2,,72,62
267,3,3:37.0,,B. Lopez makes 2-pt hook shot from 7 ft (assist by S. Kilpatrick),72,64
268,3,3:08.0,M. Gasol makes 2-pt jump shot from 19 ft,,74,64
269,3,2:39.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by I. Whitehead),74,67
270,3,2:21.0,Shooting foul by C. LeVert (drawn by Z. Randolph),,74,67
271,3,2:21.0,Z. Randolph misses free throw 1 of 2,,74,67
272,3,2:21.0,Offensive rebound by Team,,74,67
273,3,2:21.0,,L. Scola enters the game for B. Lopez,74,67
274,3,2:21.0,V. Carter enters the game for M. Conley,,74,67
275,3,2:21.0,B. Wright enters the game for M. Gasol,,74,67
276,3,2:21.0,Z. Randolph makes free throw 2 of 2,,75,67
277,3,2:11.0,,I. Whitehead makes 2-pt layup from 2 ft (assist by L. Scola),75,69
278,3,1:46.0,V. Carter misses 2-pt jump shot from 15 ft,,75,69
279,3,1:45.0,,Defensive rebound by C. LeVert,75,69
280,3,1:23.0,,C. LeVert misses 3-pt jump shot from 25 ft,75,69
281,3,1:22.0,Defensive rebound by V. Carter,,75,69
282,3,1:16.0,Personal foul by L. Scola (drawn by Z. Randolph),,75,69
283,3,1:16.0,Z. Randolph makes free throw 1 of 2,,76,69
284,3,1:16.0,T. Daniels enters the game for C. Parsons,,76,69
285,3,1:16.0,Z. Randolph makes free throw 2 of 2,,77,69
286,3,1:02.0,,Personal foul by T. Douglas (drawn by I. Whitehead),77,69
287,3,0:55.0,,S. Kilpatrick misses 3-pt jump shot from 23 ft,77,69
288,3,0:54.0,Defensive rebound by V. Carter,,77,69
289,3,0:42.0,B. Wright makes 2-pt layup from 2 ft (assist by T. Douglas),,79,69
290,3,0:19.0,,S. Kilpatrick makes 3-pt jump shot from 27 ft (assist by L. Scola),79,72
