,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
297,3,2:06.0,Defensive rebound by A. Aminu,,81,78
298,3,1:52.0,A. Crabbe misses 2-pt jump shot from 7 ft,,81,78
299,3,1:51.0,,Defensive rebound by S. Mejri,81,78
300,3,1:41.0,,W. Matthews misses 3-pt jump shot from 24 ft,81,78
301,3,1:39.0,Defensive rebound by E. Davis,,81,78
302,3,1:28.0,Def 3 sec tech foul by S. Mejri,,81,78
303,3,1:28.0,C. McCollum makes technical free throw,,82,78
304,3,1:21.0,C. McCollum misses 2-pt jump shot from 11 ft,,82,78
305,3,1:20.0,Offensive rebound by M. Harkless,,82,78
306,3,1:20.0,M. Harkless misses 2-pt layup from 2 ft,,82,78
307,3,1:17.0,Offensive rebound by M. Harkless,,82,78
308,3,1:17.0,Shooting foul by S. Mejri (drawn by M. Harkless),,82,78
309,3,1:17.0,M. Harkless misses free throw 1 of 2,,82,78
310,3,1:17.0,Offensive rebound by Team,,82,78
311,3,1:17.0,,D. Finney-Smith enters the game for W. Matthews,82,78
312,3,1:17.0,,Y. Ferrell enters the game for H. Barnes,82,78
313,3,1:17.0,,D. Nowitzki enters the game for D. Harris,82,78
314,3,1:17.0,M. Harkless makes free throw 2 of 2,,83,78
315,3,1:00.0,,Turnover by D. Finney-Smith (bad pass; steal by E. Davis),83,78
316,3,0:47.0,M. Harkless misses 2-pt layup from 2 ft (block by S. Mejri),,83,78
317,3,0:46.0,Offensive rebound by E. Davis,,83,78
318,3,0:46.0,E. Davis misses 2-pt layup at rim,,83,78
319,3,0:45.0,,Defensive rebound by D. Nowitzki,83,78
320,3,0:31.0,,Shooting foul by A. Crabbe (drawn by S. Curry),83,78
321,3,0:31.0,,S. Curry makes free throw 1 of 2,83,79
322,3,0:31.0,D. Lillard enters the game for M. Harkless,,83,79
323,3,0:31.0,,H. Barnes enters the game for D. Nowitzki,83,79
