,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
358,4,5:00.0,,A. Brooks makes 3-pt jump shot from 23 ft (assist by M. Turner),80,100
359,4,4:40.0,M. Beasley misses 2-pt jump shot from 16 ft,,80,100
360,4,4:39.0,,Defensive rebound by T. Young,80,100
361,4,4:28.0,,A. Brooks misses 2-pt jump shot from 15 ft,80,100
362,4,4:28.0,,Offensive rebound by T. Young,80,100
363,4,4:26.0,,T. Young makes 2-pt layup from 2 ft,80,102
364,4,4:14.0,R. Vaughn misses 3-pt jump shot from 26 ft,,80,102
365,4,4:14.0,,Defensive rebound by T. Young,80,102
366,4,3:57.0,,T. Young misses 3-pt jump shot from 24 ft,80,102
367,4,3:56.0,Defensive rebound by S. Hawes,,80,102
368,4,3:52.0,Turnover by S. Hawes (bad pass; steal by T. Young),,80,102
369,4,3:42.0,,P. George misses 3-pt jump shot from 25 ft,80,102
370,4,3:41.0,Defensive rebound by S. Hawes,,80,102
