,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
340,3,1:20.0,S. Kilpatrick misses free throw 2 of 2,,72,96
341,3,1:20.0,I. Whitehead enters the game for S. Dinwiddie,,72,96
342,3,1:19.0,,Defensive rebound by D. Arthur,72,96
343,3,1:00.0,,W. Chandler misses 2-pt layup from 2 ft (block by J. Hamilton),72,96
344,3,0:59.0,Defensive rebound by I. Whitehead,,72,96
345,3,0:56.0,I. Whitehead makes 2-pt layup from 2 ft,,74,96
346,3,0:36.0,,Shooting foul by S. Kilpatrick (drawn by W. Barton),74,96
347,3,0:36.0,,W. Barton makes 2-pt layup from 2 ft (assist by M. Plumlee),74,98
348,3,0:36.0,,W. Barton misses free throw 1 of 1,74,98
349,3,0:36.0,,G. Harris enters the game for M. Plumlee,74,98
350,3,0:35.0,Defensive rebound by J. Hamilton,,74,98
351,3,0:29.0,I. Whitehead misses 2-pt layup from 1 ft,,74,98
352,3,0:28.0,,Defensive rebound by G. Harris,74,98
353,3,0:06.0,,J. Murray makes 3-pt jump shot from 26 ft (assist by W. Barton),74,101
354,3,0:02.0,Shooting foul by D. Arthur (drawn by S. Kilpatrick),,74,101
355,3,0:02.0,S. Kilpatrick misses free throw 1 of 2,,74,101
356,3,0:02.0,Offensive rebound by Team,,74,101
357,3,0:02.0,S. Kilpatrick makes free throw 2 of 2,,75,101
358,3,0:00.0,,Turnover by J. Murray (lost ball),75,101
359,4,11:45.0,Turnover by I. Whitehead (bad pass; steal by D. Arthur),,75,101
360,4,11:39.0,,J. Murray misses 2-pt layup from 2 ft,75,101
361,4,11:38.0,,Offensive rebound by W. Chandler,75,101
362,4,11:34.0,,W. Chandler makes 2-pt layup from 3 ft,75,103
363,4,11:21.0,B. Lopez makes 2-pt layup from 3 ft (assist by I. Whitehead),,77,103
364,4,11:00.0,,J. Murray misses 2-pt layup from 1 ft (block by J. Harris),77,103
365,4,10:59.0,,Offensive rebound by Team,77,103
366,4,10:54.0,,W. Chandler misses 3-pt jump shot from 24 ft,77,103
367,4,10:53.0,Defensive rebound by R. Foye,,77,103
368,4,10:47.0,Turnover by R. Foye (bad pass),,77,103
