,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
269,3,6:19.0,,J. Holiday makes free throw 2 of 2,87,69
270,3,6:09.0,Shooting foul by J. Holiday (drawn by S. Dinwiddie),,87,69
271,3,6:09.0,S. Dinwiddie makes free throw 1 of 2,,88,69
272,3,6:09.0,S. Dinwiddie misses free throw 2 of 2,,88,69
273,3,6:07.0,,Defensive rebound by A. Davis,88,69
274,3,5:51.0,,T. Jones makes 2-pt layup from 1 ft,88,71
275,3,5:38.0,B. Bogdanović misses 2-pt jump shot from 10 ft,,88,71
276,3,5:37.0,Offensive rebound by B. Bogdanović,,88,71
277,3,5:32.0,B. Lopez misses 3-pt jump shot from 24 ft,,88,71
278,3,5:31.0,,Defensive rebound by J. Holiday,88,71
279,3,5:20.0,,T. Jones misses 2-pt layup from 2 ft (block by B. Lopez),88,71
280,3,5:19.0,Defensive rebound by B. Bogdanović,,88,71
281,3,5:14.0,Shooting foul by A. Davis (drawn by B. Bogdanović),,88,71
282,3,5:14.0,B. Bogdanović makes free throw 1 of 2,,89,71
283,3,5:14.0,R. Hollis-Jefferson enters the game for J. Hamilton,,89,71
284,3,5:14.0,I. Whitehead enters the game for S. Dinwiddie,,89,71
285,3,5:14.0,Q. Acy enters the game for B. Lopez,,89,71
286,3,5:14.0,,D. Cunningham enters the game for A. Davis,89,71
287,3,5:14.0,B. Bogdanović makes free throw 2 of 2,,90,71
288,3,5:03.0,,E. Moore misses 2-pt layup from 2 ft,90,71
289,3,5:00.0,Defensive rebound by R. Hollis-Jefferson,,90,71
290,3,4:43.0,,L. Galloway enters the game for S. Hill,90,71
291,3,4:37.0,Q. Acy misses 3-pt jump shot from 24 ft (block by T. Jones),,90,71
292,3,4:36.0,,Defensive rebound by E. Moore,90,71
293,3,4:31.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by J. Holiday),90,74
294,3,4:16.0,R. Foye enters the game for B. Bogdanović,,90,74
295,3,4:03.0,I. Whitehead makes 2-pt layup from 1 ft (assist by Q. Acy),,92,74
296,3,3:55.0,,L. Galloway misses 3-pt jump shot from 25 ft,92,74
297,3,3:55.0,,Offensive rebound by D. Cunningham,92,74
298,3,3:55.0,Loose ball foul by R. Hollis-Jefferson (drawn by D. Cunningham),,92,74
