,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
372,4,7:07.0,,K. Irving misses 3-pt jump shot from 24 ft,95,96
373,4,7:07.0,Defensive rebound by J. Harden,,95,96
374,4,7:01.0,C. Capela misses 2-pt layup from 1 ft,,95,96
375,4,7:00.0,,Defensive rebound by K. Love,95,96
376,4,6:55.0,,Personal block foul by E. Gordon (drawn by K. Irving),95,96
377,4,6:55.0,,J. Smith enters the game for K. Irving,95,96
378,4,6:45.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by M. Dunleavy),95,99
379,4,6:34.0,Turnover by C. Capela (bad pass; steal by K. Love),,95,99
380,4,6:27.0,,M. Dunleavy makes 3-pt jump shot from 26 ft (assist by L. James),95,102
381,4,6:16.0,Turnover by J. Harden (bad pass; steal by K. Love),,95,102
382,4,6:06.0,,Shooting foul by T. Ariza (drawn by K. Love),95,102
383,4,6:06.0,,K. Love makes free throw 1 of 3,95,103
384,4,6:06.0,,K. Love makes free throw 2 of 3,95,104
385,4,6:06.0,N. Hilário enters the game for C. Capela,,95,104
