,QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
294,3,3:06.0,Defensive rebound by P. George,,67,79
295,3,2:56.0,P. George misses 2-pt jump shot from 21 ft,,67,79
296,3,2:55.0,,Defensive rebound by A. Burks,67,79
297,3,2:47.0,,A. Burks makes 2-pt jump shot from 7 ft,67,81
298,3,2:35.0,Turnover by M. Ellis (lost ball; steal by R. Neto),,67,81
299,3,2:31.0,,Turnover by R. Neto (bad pass; steal by M. Ellis),67,81
300,3,2:24.0,C. Miles misses 3-pt jump shot from 23 ft,,67,81
301,3,2:24.0,,Defensive rebound by B. Diaw,67,81
302,3,2:02.0,,B. Diaw makes 2-pt jump shot from 3 ft,67,83
303,3,1:47.0,Personal foul by A. Burks (drawn by M. Turner),,67,83
304,3,1:47.0,,J. Ingles enters the game for A. Burks,67,83
305,3,1:40.0,M. Ellis makes 3-pt jump shot from 24 ft (assist by T. Young),,70,83
306,3,1:29.0,,Turnover by R. Neto (lost ball),70,83
307,3,1:17.0,M. Turner misses 3-pt jump shot from 25 ft,,70,83
308,3,1:16.0,,Defensive rebound by J. Ingles,70,83
309,3,0:58.0,,B. Diaw makes 2-pt jump shot from 21 ft (assist by J. Johnson),70,85
310,3,0:46.0,Turnover by C. Miles (lost ball; steal by D. Favors),,70,85
311,3,0:33.0,,D. Favors misses 2-pt hook shot from 3 ft,70,85
312,3,0:32.0,Defensive rebound by M. Turner,,70,85
313,3,0:20.0,P. George makes 2-pt jump shot from 9 ft,,72,85
314,3,0:01.0,,J. Johnson misses 3-pt jump shot from 23 ft,72,85
315,3,0:00.0,,Offensive rebound by Team,72,85
316,4,11:47.0,,G. Hill misses 2-pt jump shot from 16 ft,72,85
317,4,11:46.0,Defensive rebound by A. Jefferson,,72,85
318,4,11:31.0,P. George misses 2-pt jump shot from 16 ft,,72,85
319,4,11:31.0,,Defensive rebound by T. Lyles,72,85
320,4,11:14.0,,R. Gobert makes 2-pt layup from 1 ft (assist by G. Hill),72,87
321,4,11:14.0,,Shooting foul by P. George (drawn by R. Gobert),72,87
322,4,11:14.0,,R. Gobert makes free throw 1 of 1,72,88
323,4,11:00.0,C. Miles misses 3-pt jump shot from 24 ft,,72,88
324,4,11:00.0,,Defensive rebound by Team,72,88
325,4,10:53.0,,Personal foul by C. Miles (drawn by T. Lyles),72,88
326,4,10:46.0,,G. Hill makes 2-pt jump shot from 11 ft,72,90
327,4,10:37.0,J. Teague makes 2-pt jump shot from 11 ft,,74,90
328,4,10:20.0,,Turnover by T. Lyles (bad pass; steal by A. Jefferson),74,90
329,4,10:12.0,M. Ellis makes 2-pt jump shot from 19 ft,,76,90
330,4,9:47.0,,T. Lyles misses 3-pt jump shot from 24 ft,76,90
331,4,9:47.0,Defensive rebound by P. George,,76,90
332,4,9:37.0,M. Ellis misses 2-pt jump shot from 21 ft,,76,90
333,4,9:36.0,,Defensive rebound by J. Ingles,76,90
334,4,9:17.0,,T. Lyles misses 2-pt jump shot from 4 ft,76,90
335,4,9:17.0,Defensive rebound by P. George,,76,90
336,4,9:13.0,Personal foul by J. Johnson (drawn by P. George),,76,90
337,4,9:13.0,,G. Hayward enters the game for J. Johnson,76,90
338,4,9:13.0,,A. Burks enters the game for T. Lyles,76,90
339,4,9:13.0,T. Young enters the game for C. Miles,,76,90
340,4,9:01.0,P. George misses 2-pt jump shot from 16 ft,,76,90
341,4,9:00.0,,Defensive rebound by R. Gobert,76,90
342,4,8:56.0,,Personal foul by P. George (drawn by G. Hill),76,90
343,4,8:56.0,,Utah full timeout,76,90
344,4,8:56.0,Technical foul by Team,,76,90
345,4,8:56.0,,G. Hayward makes technical free throw,76,91
346,4,8:44.0,,G. Hayward misses 2-pt layup from 2 ft (block by A. Jefferson),76,91
347,4,8:44.0,Defensive rebound by T. Young,,76,91
348,4,8:38.0,J. Teague makes 2-pt layup from 2 ft,,78,91
349,4,8:20.0,,Shooting foul by A. Jefferson (drawn by G. Hill),78,91
350,4,8:20.0,,G. Hill misses free throw 1 of 2,78,91
351,4,8:20.0,,Offensive rebound by Team,78,91
352,4,8:20.0,,G. Hill makes free throw 2 of 2,78,92
353,4,7:55.0,M. Ellis makes 2-pt layup from 3 ft,,80,92
354,4,7:35.0,,G. Hill makes 2-pt jump shot from 5 ft,80,94
355,4,7:25.0,,J. Johnson enters the game for J. Ingles,80,94
356,4,7:10.0,P. George makes 3-pt jump shot from 22 ft,,83,94
357,4,6:43.0,,J. Johnson misses 2-pt jump shot from 22 ft,83,94
358,4,6:42.0,,Offensive rebound by Team,83,94
359,4,6:41.0,,Personal foul by P. George (drawn by G. Hayward),83,94
360,4,6:41.0,Technical foul by P. George,,83,94
361,4,6:41.0,,G. Hayward makes technical free throw,83,95
362,4,6:41.0,,G. Hayward makes free throw 1 of 2,83,96
363,4,6:41.0,C. Miles enters the game for P. George,,83,94
364,4,6:41.0,,J. Ingles enters the game for G. Hill,83,95
365,4,6:41.0,,G. Hayward makes free throw 2 of 2,83,97
366,4,6:38.0,Personal foul by J. Ingles (drawn by J. Teague),,83,97
367,4,6:26.0,Turnover by T. Young (lost ball; steal by J. Johnson),,83,97
368,4,6:17.0,,G. Hayward misses 2-pt jump shot from 7 ft (block by C. Miles),83,97
