,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
354,4,7:06.0,A. Afflalo enters the game for G. Harris,,104,85
355,4,7:06.0,,R. Gay makes free throw 2 of 2,104,86
356,4,6:48.0,Turnover by A. Afflalo (bad pass; steal by D. Cousins),,104,86
357,4,6:40.0,,D. Collison misses 3-pt jump shot from 23 ft,104,86
358,4,6:40.0,Defensive rebound by Team,,104,86
359,4,6:40.0,,Loose ball foul by D. Cousins (drawn by K. Faried),104,86
360,4,6:30.0,Turnover by T. Lawson (bad pass; steal by R. Gay),,104,86
361,4,6:27.0,,Shooting foul by T. Lawson (drawn by R. Gay),104,86
362,4,6:27.0,,R. Gay misses free throw 1 of 2,104,86
363,4,6:27.0,,Offensive rebound by Team,104,86
364,4,6:27.0,,R. Gay makes free throw 2 of 2,104,87
365,4,6:07.0,A. Afflalo misses 3-pt jump shot from 25 ft,,104,87
366,4,6:06.0,,Defensive rebound by D. Cousins,104,87
367,4,6:02.0,,Turnover by D. Cousins (lost ball; steal by A. Gee),104,87
368,4,6:02.0,K. Faried makes 2-pt hook shot from 4 ft (assist by A. Gee),,106,87
369,4,6:02.0,Shooting foul by D. Cousins (drawn by K. Faried),,106,87
370,4,6:02.0,K. Faried makes free throw 1 of 1,,107,87
371,4,5:56.0,,Shooting foul by K. Faried (drawn by N. Stauskas),107,87
372,4,5:56.0,,Sacramento full timeout,107,87
