,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
239,3,7:17.0,,Offensive rebound by R. Covington,58,43
240,3,7:16.0,,R. Covington makes 2-pt layup from 2 ft,58,45
241,3,7:03.0,M. Muscala misses 2-pt jump shot from 3 ft,,58,45
242,3,7:02.0,Offensive rebound by A. Horford,,58,45
243,3,6:47.0,D. Schröder misses 2-pt layup from 2 ft,,58,45
244,3,6:46.0,Offensive rebound by A. Horford,,58,45
245,3,6:46.0,Shooting foul by K. McDaniels (drawn by A. Horford),,58,45
246,3,6:46.0,A. Horford makes free throw 1 of 2,,59,45
247,3,6:46.0,M. Scott enters the game for M. Muscala,,59,45
248,3,6:46.0,A. Horford makes free throw 2 of 2,,60,45
249,3,6:29.0,,K. McDaniels makes 2-pt dunk at rim (assist by R. Covington),60,47
250,3,6:07.0,Turnover by K. Korver (step out of bounds),,60,47
251,3,6:07.0,,Philadelphia full timeout,60,47
252,3,6:07.0,K. Bazemore enters the game for K. Korver,,60,47
253,3,6:07.0,,J. Grant enters the game for L. Mbah a Moute,60,47
254,3,6:07.0,,T. Wroten enters the game for K. McDaniels,60,47
255,3,5:55.0,,Turnover by R. Covington (traveling),60,47
256,3,5:43.0,Shooting foul by N. Noel (drawn by D. Schröder),,60,47
257,3,5:43.0,D. Schröder misses free throw 1 of 2,,60,47
258,3,5:43.0,Offensive rebound by Team,,60,47
259,3,5:43.0,D. Schröder makes free throw 2 of 2,,61,47
260,3,5:31.0,,M. Carter-Williams makes 2-pt layup from 1 ft,61,49
261,3,5:13.0,A. Horford makes 2-pt jump shot from 16 ft (assist by D. Schröder),,63,49
262,3,4:53.0,,R. Covington misses 2-pt jump shot from 3 ft (block by A. Horford),63,49
263,3,4:53.0,Defensive rebound by Team,,63,49
264,3,4:41.0,,Violation by R. Covington (kicked ball),63,49
265,3,4:41.0,E. Brand enters the game for A. Horford,,63,49
266,3,4:29.0,E. Brand misses 2-pt jump shot from 13 ft,,63,49
267,3,4:28.0,,Defensive rebound by M. Carter-Williams,63,49
268,3,4:22.0,,M. Carter-Williams misses 2-pt jump shot from 19 ft,63,49
269,3,4:19.0,Defensive rebound by K. Bazemore,,63,49
270,3,4:05.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by D. Schröder),,66,49
271,3,4:03.0,,Philadelphia full timeout,66,49
272,3,4:03.0,,H. Thompson enters the game for R. Covington,66,49
273,3,3:51.0,Offensive charge foul by T. Wroten (drawn by D. Schröder),,66,49
274,3,3:51.0,,Turnover by T. Wroten (offensive foul),66,49
275,3,3:39.0,Turnover by D. Schröder (bad pass; steal by N. Noel),,66,49
276,3,3:29.0,,Shooting foul by K. Bazemore (drawn by N. Noel),66,49
277,3,3:29.0,,N. Noel misses free throw 1 of 2,66,49
