,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
356,4,8:35.0,Defensive rebound by A. Jefferson,,74,84
357,4,8:18.0,M. Williams makes 3-pt jump shot from 25 ft (assist by C. Zeller),,77,84
358,4,7:56.0,,Turnover by B. McLemore (bad pass),77,84
359,4,7:50.0,G. Henderson misses 2-pt jump shot from 20 ft,,77,84
360,4,7:50.0,,Defensive rebound by R. Evans,77,84
361,4,7:26.0,,Turnover by Team (shot clock),77,84
362,4,7:06.0,Turnover by L. Stephenson (step out of bounds),,77,84
363,4,7:06.0,M. Williams enters the game for C. Zeller,,77,84
364,4,6:50.0,,R. Gay misses 2-pt jump shot from 3 ft,77,84
365,4,6:50.0,,Offensive rebound by R. Gay,77,84
366,4,6:49.0,,R. Gay makes 2-pt jump shot from 3 ft,77,86
367,4,6:49.0,,Shooting foul by M. Williams (drawn by R. Gay),77,86
368,4,6:49.0,,J. Thompson enters the game for R. Evans,77,86
369,4,6:49.0,M. Kidd-Gilchrist enters the game for G. Henderson,,77,86
370,4,6:49.0,,R. Gay makes free throw 1 of 1,77,87
371,4,6:31.0,A. Jefferson misses 2-pt jump shot from 10 ft,,77,87
372,4,6:30.0,,Defensive rebound by J. Thompson,77,87
