,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
271,3,4:53.0,Z. Randolph makes 2-pt hook shot from 3 ft (assist by M. Gasol),,71,58
272,3,4:29.0,,Shooting foul by C. Lee (drawn by D. Lillard),71,58
273,3,4:29.0,,D. Lillard makes free throw 1 of 3,71,59
274,3,4:29.0,,D. Lillard makes free throw 2 of 3,71,60
275,3,4:29.0,,A. Crabbe enters the game for W. Matthews,71,60
276,3,4:29.0,,D. Lillard makes free throw 3 of 3,71,61
277,3,4:16.0,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Conley),,73,61
278,3,4:05.0,,Personal foul by Z. Randolph (drawn by D. Lillard),73,61
279,3,3:54.0,,C. Kaman misses 2-pt jump shot from 16 ft,73,61
280,3,3:53.0,Defensive rebound by C. Lee,,73,61
281,3,3:47.0,M. Conley makes 2-pt layup from 2 ft,,75,61
282,3,3:26.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by S. Blake),75,64
283,3,3:04.0,C. Lee misses 3-pt jump shot from 23 ft,,75,64
284,3,3:01.0,,Defensive rebound by L. Aldridge,75,64
285,3,2:45.0,,S. Blake misses 2-pt jump shot from 20 ft,75,64
286,3,2:45.0,Defensive rebound by Z. Randolph,,75,64
287,3,2:30.0,M. Gasol makes 2-pt layup from 2 ft (assist by M. Conley),,77,64
288,3,2:08.0,,Shooting foul by Z. Randolph (drawn by L. Aldridge),77,64
289,3,2:08.0,,L. Aldridge makes free throw 1 of 2,77,65
290,3,2:08.0,Q. Pondexter enters the game for T. Allen,,77,65
291,3,2:08.0,,N. Batum enters the game for D. Lillard,77,65
292,3,2:08.0,,L. Aldridge makes free throw 2 of 2,77,66
293,3,1:59.0,M. Conley makes 2-pt jump shot from 22 ft (assist by M. Gasol),,79,66
294,3,1:38.0,,S. Blake misses 3-pt jump shot from 23 ft,79,66
295,3,1:35.0,Defensive rebound by Q. Pondexter,,79,66
296,3,1:27.0,M. Gasol makes 2-pt layup at rim (assist by M. Conley),,81,66
297,3,1:15.0,,S. Blake misses 2-pt jump shot from 14 ft,81,66
298,3,1:14.0,,Offensive rebound by C. Kaman,81,66
299,3,1:14.0,,C. Kaman misses 2-pt tip-in at rim,81,66
300,3,1:12.0,,Offensive rebound by C. Kaman,81,66
301,3,1:12.0,,C. Kaman makes 2-pt hook shot from 1 ft,81,68
302,3,0:56.0,Shooting foul by C. Kaman (drawn by Z. Randolph),,81,68
