,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
340,4,10:25.0,,Defensive rebound by R. Stuckey,67,62
341,4,10:20.0,,Turnover by R. Stuckey (bad pass; steal by M. Smart),67,62
342,4,10:15.0,J. Crowder makes 2-pt layup at rim (assist by M. Smart),,69,62
343,4,9:48.0,,D. Rudež misses 3-pt jump shot from 26 ft,69,62
344,4,9:47.0,Defensive rebound by P. Pressey,,69,62
345,4,9:44.0,P. Pressey makes 2-pt layup from 1 ft,,71,62
346,4,9:44.0,Shooting foul by R. Stuckey (drawn by P. Pressey),,71,62
347,4,9:44.0,P. Pressey makes free throw 1 of 1,,72,62
348,4,9:34.0,,C. Watson makes 2-pt layup from 1 ft,72,64
349,4,9:23.0,Personal foul by C. Watson (drawn by P. Pressey),,72,64
350,4,9:13.0,M. Smart makes 2-pt jump shot from 13 ft,,74,64
351,4,8:52.0,,I. Mahinmi misses 2-pt jump shot from 17 ft,74,64
352,4,8:50.0,Defensive rebound by Team,,74,64
353,4,8:50.0,Official timeout,,74,64
354,4,8:50.0,,S. Hill enters the game for R. Stuckey,74,64
355,4,8:50.0,,G. Hill enters the game for D. Rudež,74,64
356,4,8:34.0,K. Olynyk misses 2-pt jump shot from 18 ft,,74,64
357,4,8:33.0,,Defensive rebound by C. Watson,74,64
358,4,8:18.0,,G. Hill makes 2-pt jump shot from 17 ft,74,66
359,4,8:03.0,M. Smart makes 3-pt jump shot from 25 ft (assist by K. Olynyk),,77,66
360,4,7:49.0,,G. Hill makes 2-pt jump shot from 12 ft,77,68
361,4,7:30.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by P. Pressey),,80,68
362,4,7:11.0,,G. Hill misses 2-pt jump shot from 16 ft,80,68
363,4,7:10.0,Defensive rebound by K. Olynyk,,80,68
364,4,6:57.0,Turnover by P. Pressey (lost ball),,80,68
365,4,6:47.0,,Personal foul by K. Olynyk (drawn by I. Mahinmi),80,68
366,4,6:47.0,,D. West enters the game for L. Scola,80,68
367,4,6:47.0,B. Bass enters the game for K. Olynyk,,80,68
368,4,6:38.0,,C. Watson misses 2-pt jump shot from 17 ft,80,68
369,4,6:35.0,,Offensive rebound by D. West,80,68
370,4,6:22.0,,C. Watson makes 3-pt jump shot from 25 ft (assist by G. Hill),80,71
371,4,5:58.0,M. Smart misses 3-pt jump shot from 23 ft,,80,71
372,4,5:57.0,,Defensive rebound by I. Mahinmi,80,71
373,4,5:49.0,,C. Watson misses 2-pt layup from 2 ft,80,71
374,4,5:48.0,,Offensive rebound by G. Hill,80,71
375,4,5:47.0,,G. Hill makes 2-pt layup at rim,80,73
376,4,5:43.0,Boston full timeout,,80,73
377,4,5:43.0,A. Bradley enters the game for J. Jerebko,,80,73
378,4,5:43.0,,C. Miles enters the game for S. Hill,80,73
