,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
246,3,8:38.0,,Golden State full timeout,60,53
247,3,8:26.0,,Personal foul by K. Middleton (drawn by A. Bogut),60,53
248,3,8:26.0,,A. Bogut makes free throw 1 of 2,60,54
249,3,8:26.0,J. Bayless enters the game for K. Middleton,,60,54
250,3,8:26.0,,A. Bogut misses free throw 2 of 2,60,54
251,3,8:24.0,Defensive rebound by J. Dudley,,60,54
252,3,8:19.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,60,54
253,3,8:18.0,,Defensive rebound by A. Bogut,60,54
254,3,8:11.0,,Personal foul by G. Antetokounmpo (drawn by K. Thompson),60,54
255,3,8:11.0,,K. Thompson makes free throw 1 of 2,60,55
256,3,8:11.0,,K. Thompson makes free throw 2 of 2,60,56
257,3,8:00.0,Turnover by J. Dudley (bad pass; steal by H. Barnes),,60,56
258,3,7:56.0,,Turnover by S. Curry (bad pass; steal by J. Bayless),60,56
259,3,7:41.0,J. Dudley misses 2-pt jump shot from 16 ft,,60,56
260,3,7:40.0,,Defensive rebound by H. Barnes,60,56
261,3,7:31.0,,A. Bogut makes 2-pt hook shot from 5 ft (assist by S. Curry),60,58
262,3,7:18.0,,Offensive charge foul by Z. Pachulia (drawn by K. Thompson),60,58
263,3,7:18.0,Turnover by Z. Pachulia (offensive foul),,60,58
264,3,7:02.0,,Turnover by A. Bogut (lost ball; steal by Z. Pachulia),60,58
265,3,6:44.0,Turnover by J. Dudley (bad pass; steal by K. Thompson),,60,58
266,3,6:35.0,,Shooting foul by J. Bayless (drawn by K. Thompson),60,58
267,3,6:35.0,,K. Thompson makes free throw 1 of 2,60,59
268,3,6:35.0,,A. Iguodala enters the game for H. Barnes,60,59
269,3,6:35.0,,K. Thompson makes free throw 2 of 2,60,60
270,3,6:24.0,M. Carter-Williams makes 2-pt jump shot from 7 ft,,62,60
271,3,6:24.0,Shooting foul by K. Thompson (drawn by M. Carter-Williams),,62,60
272,3,6:24.0,M. Carter-Williams makes free throw 1 of 1,,63,60
273,3,6:12.0,,K. Thompson misses 2-pt jump shot from 16 ft,63,60
274,3,6:11.0,Defensive rebound by J. Dudley,,63,60
275,3,6:01.0,Turnover by M. Carter-Williams (bad pass),,63,60
276,3,5:40.0,,Turnover by K. Thompson (lost ball; steal by M. Carter-Williams),63,60
277,3,5:38.0,Personal foul by D. Green (drawn by M. Carter-Williams),,63,60
278,3,5:22.0,J. Dudley misses 3-pt jump shot from 26 ft,,63,60
279,3,5:21.0,,Defensive rebound by S. Curry,63,60
280,3,5:15.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),63,62
281,3,4:59.0,E. İlyasova enters the game for J. Dudley,,63,62
282,3,4:52.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),,65,62
283,3,4:41.0,,Turnover by S. Curry (bad pass; steal by G. Antetokounmpo),65,62
284,3,4:36.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,65,62
285,3,4:34.0,Offensive rebound by E. İlyasova,,65,62
286,3,4:34.0,E. İlyasova misses 2-pt tip-in at rim,,65,62
287,3,4:32.0,Offensive rebound by E. İlyasova,,65,62
288,3,4:31.0,E. İlyasova misses 2-pt layup from 1 ft (block by D. Green),,65,62
289,3,4:29.0,Offensive rebound by J. Bayless,,65,62
290,3,4:18.0,,Loose ball foul by A. Bogut (drawn by Z. Pachulia),65,62
291,3,4:18.0,Z. Pachulia makes free throw 1 of 2,,66,62
292,3,4:18.0,,S. Livingston enters the game for S. Curry,66,62
293,3,4:18.0,T. Ennis enters the game for M. Carter-Williams,,66,62
294,3,4:18.0,Z. Pachulia misses free throw 2 of 2,,66,62
295,3,4:17.0,,Defensive rebound by A. Bogut,66,62
296,3,3:55.0,,K. Thompson misses 2-pt jump shot from 11 ft,66,62
297,3,3:54.0,Defensive rebound by J. Bayless,,66,62
298,3,3:51.0,Turnover by J. Bayless (bad pass),,66,62
299,3,3:51.0,J. Henson enters the game for Z. Pachulia,,66,62
300,3,3:33.0,,A. Iguodala makes 3-pt jump shot from 27 ft (assist by D. Green),66,65
301,3,3:33.0,,Shooting foul by T. Ennis (drawn by A. Iguodala),66,65
302,3,3:33.0,,H. Barnes enters the game for A. Bogut,66,65
303,3,3:33.0,,A. Iguodala makes free throw 1 of 1,66,66
304,3,3:25.0,Personal foul by D. Green (drawn by J. Henson),,66,66
305,3,3:25.0,J. Henson makes free throw 1 of 2,,67,66
306,3,3:25.0,J. Henson misses free throw 2 of 2,,67,66
307,3,3:24.0,Offensive rebound by E. İlyasova,,67,66
308,3,3:22.0,Turnover by E. İlyasova (lost ball; steal by D. Green),,67,66
309,3,3:09.0,,S. Livingston makes 2-pt jump shot from 6 ft,67,68
310,3,2:56.0,Turnover by T. Ennis (lost ball; steal by S. Livingston),,67,68
311,3,2:51.0,,S. Livingston makes 2-pt jump shot from 8 ft (assist by K. Thompson),67,70
312,3,2:29.0,G. Antetokounmpo misses 2-pt jump shot from 7 ft,,67,70
313,3,2:28.0,,Defensive rebound by D. Green,67,70
314,3,2:23.0,,Shooting foul by J. Bayless (drawn by H. Barnes),67,70
315,3,2:23.0,J. Dudley enters the game for J. Henson,,67,70
316,3,2:23.0,Milwaukee full timeout,,67,70
317,3,2:23.0,,H. Barnes misses free throw 1 of 2,67,70
318,3,2:23.0,,Offensive rebound by Team,67,70
319,3,2:23.0,,H. Barnes misses free throw 2 of 2,67,70
320,3,2:21.0,Defensive rebound by E. İlyasova,,67,70
321,3,2:04.0,J. Bayless misses 3-pt jump shot from 22 ft,,67,70
322,3,2:03.0,Offensive rebound by G. Antetokounmpo,,67,70
323,3,1:44.0,Shooting foul by K. Thompson (drawn by J. Bayless),,67,70
324,3,1:44.0,J. Bayless makes free throw 1 of 2,,68,70
325,3,1:44.0,J. Bayless makes free throw 2 of 2,,69,70
326,3,1:27.0,,Turnover by H. Barnes (lost ball; steal by T. Ennis),69,70
327,3,1:23.0,Turnover by J. Bayless (bad pass),,69,70
328,3,1:03.0,,S. Livingston makes 2-pt jump shot from 16 ft,69,72
329,3,0:46.0,Turnover by J. Bayless (bad pass),,69,72
330,3,0:26.0,,S. Livingston misses 2-pt jump shot from 12 ft,69,72
331,3,0:24.0,Defensive rebound by E. İlyasova,,69,72
332,3,0:04.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,71,72
333,3,0:00.0,,K. Thompson misses 3-pt jump shot from 26 ft,71,72
334,3,0:00.0,,Offensive rebound by Team,71,72
335,4,11:46.0,,Def 3 sec tech foul by J. Dudley,71,72
336,4,11:46.0,,S. Curry misses technical free throw,71,72
337,4,11:46.0,,Offensive rebound by Team,71,72
338,4,11:37.0,,D. Green makes 3-pt jump shot from 25 ft (assist by A. Iguodala),71,75
339,4,11:21.0,T. Ennis makes 2-pt layup at rim,,73,75
340,4,11:08.0,,Shooting foul by G. Antetokounmpo (drawn by D. Green),73,75
341,4,11:08.0,,D. Green misses free throw 1 of 2,73,75
342,4,11:08.0,,Offensive rebound by Team,73,75
343,4,11:08.0,,D. Green makes free throw 2 of 2,73,76
344,4,10:51.0,E. İlyasova misses 3-pt jump shot from 26 ft,,73,76
345,4,10:50.0,,Defensive rebound by H. Barnes,73,76
346,4,10:39.0,,S. Curry misses 3-pt jump shot from 24 ft,73,76
347,4,10:38.0,,Offensive rebound by Team,73,76
348,4,10:31.0,,Shooting foul by G. Antetokounmpo (drawn by D. Green),73,76
349,4,10:31.0,,D. Green misses free throw 1 of 2,73,76
350,4,10:31.0,,Offensive rebound by Team,73,76
351,4,10:31.0,K. Middleton enters the game for J. Bayless,,73,76
352,4,10:31.0,,D. Green misses free throw 2 of 2,73,76
353,4,10:30.0,,Offensive rebound by H. Barnes,73,76
354,4,10:18.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by S. Livingston),73,79
355,4,9:58.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,75,79
356,4,9:48.0,,S. Curry makes 3-pt jump shot from 26 ft,75,82
357,4,9:21.0,T. Ennis misses 2-pt jump shot from 21 ft,,75,82
358,4,9:20.0,,Defensive rebound by D. Green,75,82
359,4,9:13.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by S. Livingston),75,85
360,4,9:12.0,Milwaukee full timeout,,75,85
361,4,9:12.0,M. Carter-Williams enters the game for T. Ennis,,75,85
362,4,8:56.0,Turnover by M. Carter-Williams (lost ball; steal by S. Curry),,75,85
363,4,8:39.0,,A. Iguodala misses 2-pt jump shot from 3 ft,75,85
364,4,8:38.0,Defensive rebound by E. İlyasova,,75,85
