,QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
353,4,5:11.0,,L. Babbitt misses 3-pt jump shot from 24 ft,86,92
354,4,5:10.0,,Offensive rebound by T. Douglas,86,92
355,4,5:02.0,,New Orleans full timeout,86,92
356,4,4:45.0,,Turnover by Team (shot clock),86,92
357,4,4:26.0,D. Arthur misses 2-pt jump shot from 9 ft,,86,92
358,4,4:25.0,,Defensive rebound by L. Babbitt,86,92
359,4,4:13.0,,Personal foul by D. Arthur,86,92
360,4,4:13.0,K. Faried enters the game for D. Arthur,,86,92
361,4,4:01.0,,D. Cunningham misses 2-pt jump shot from 21 ft,86,92
362,4,4:00.0,Defensive rebound by K. Faried,,86,92
363,4,3:52.0,Shooting foul by D. Cunningham (drawn by W. Barton),,86,92
364,4,3:52.0,W. Barton makes free throw 1 of 2,,87,92
365,4,3:52.0,W. Barton misses free throw 2 of 2,,87,92
366,4,3:51.0,,Defensive rebound by L. Babbitt,87,92
367,4,3:39.0,,Turnover by D. Cunningham (bad pass; steal by K. Faried),87,92
368,4,3:30.0,E. Mudiay misses 2-pt jump shot from 11 ft (block by L. Babbitt),,87,92
369,4,3:29.0,Offensive rebound by K. Faried,,87,92
370,4,3:23.0,K. Faried misses 2-pt layup from 2 ft,,87,92
371,4,3:22.0,,Defensive rebound by D. Cunningham,87,92
